X,Y,geo_borne,annee,object_rid,creat_date,update_dat,lot,icon_url
-0.038611132110733,49.2339475078928,"6456","2020",Objet_672322,2009/10/22,2014/03/03,NCPA,
-0.0385663116704,49.2338745058354,"6457","2020",Objet_672323,2009/10/22,2014/03/03,NCPA,
-0.038625426777545,49.2339709885095,"6458","2020",Objet_672369,2009/10/22,2014/03/03,NCPA,
-0.038685109525923,49.2340280516895,"6459","2020",Objet_672370,2009/10/22,2014/03/03,NCPA,
-0.039204625204588,49.234073520114,"6460","2020",Objet_672371,2009/10/22,2014/03/03,NCPA,
-0.03923254400318,49.2340319714648,"6461","2020",Objet_672372,2009/10/22,2014/03/03,NCPA,
-0.039072293197676,49.2343183260635,"6462","2020",Objet_672373,2009/10/22,2014/03/03,NCPA,
-0.03893389591733,49.2342193444072,"6463","2020",Objet_672375,2009/10/22,2014/03/03,NCPA,
-0.039254477288388,49.2343979402745,"6464","2020",Objet_672376,2009/10/22,2014/03/03,NCPA,
-0.039304507987403,49.2344146718455,"6465","2020",Objet_672377,2009/10/22,2014/03/03,NCPA,
-0.03988819467517,49.2344205534614,"6466","2020",Objet_672378,2009/10/22,2014/03/03,NCPA,
-0.039870596758752,49.2344016546092,"6467","2020",Objet_672379,2009/10/22,2014/03/03,NCPA,
-0.039595100944691,49.2344524164383,"6468","2020",Objet_672380,2009/10/22,2014/03/03,NCPA,
-0.039710154278413,49.2344417776481,"6469","2020",Objet_672381,2009/10/22,2014/03/03,NCPA,
-0.039735795129276,49.2344198989564,"6470","2020",Objet_672382,2009/10/22,2014/03/03,NCPA,
-0.039578568585221,49.23422737832,"6471","2020",Objet_672383,2009/10/22,2014/03/03,NCPA,
-0.039464835268002,49.2341062733128,"6472","2020",Objet_672384,2009/10/22,2014/03/03,NCPA,
-0.039445982379149,49.2340940635416,"6473","2020",Objet_672385,2009/10/22,2014/03/03,NCPA,
-0.039437683124936,49.2340276979066,"6474","2020",Objet_672386,2009/10/22,2014/03/03,NCPA,
-0.039469098317951,49.2339661785039,"6475","2020",Objet_672387,2009/10/22,2014/03/03,NCPA,
-0.039539759984413,49.233931918672,"6476","2020",Objet_672388,2009/10/22,2014/12/01,NCPA,
-0.039317710163203,49.2339967162441,"6477","2020",Objet_672389,2009/10/22,2014/03/03,NCPA,
-0.039381745006655,49.2339619038954,"6478","2020",Objet_672390,2009/10/22,2014/03/03,NCPA,
-0.039251614357763,49.2339147145294,"6479","2020",Objet_672391,2009/10/22,2014/03/03,NCPA,
-0.039222361398868,49.2338915212205,"6480","2020",Objet_672392,2009/10/22,2014/03/03,NCPA,
-0.039158068020444,49.2339266099043,"6481","2020",Objet_672393,2009/10/22,2014/03/03,NCPA,
-0.039056744088297,49.2339324036957,"6482","2020",Objet_672394,2009/10/22,2014/03/03,NCPA,
-0.038764968966001,49.234089464289,"6483","2020",Objet_672395,2009/10/22,2014/03/03,NCPA,
